title,genre,director,rating
Dubai Return,"Ten years ago, small time crook Aftab Angrez made a hit-man's dream debut in the Mumbai underworld with a shocking, high-profile killing. Much to his bad luck, the credit was attributed to ...                See full summary »",Aditya Bhattacharya,7.4
Paap Ko Jalaa Kar Raakh Kar Doonga,"The Saxena's family consists of Chief Engineer Vinay Saxena, his wife, a daughter, Pooja and his younger brother, Shankar. Shankar is a CBI officer a fact that is known to his family ...                See full summary »",K.R. Reddy,5.4
Phool Khile Hain Gulshan Gulshan,"Aware that his grandson has acquired all the bad habits of a rich and spoiled brat, including womanizing and alcohol, Lala Ganpat Rai, instructs his lawyers to make it conditional that he, ...                See full summary »",Sikandar Khanna,6.1
Insaniyat Ke Devta,"Balbir and Anwar are close friends who are both honest and brave, and always willing to lend a helping hand to any one who is in need, including the people behind a Ashram (resthouse for ...                See full summary »",K.C. Bokadia,5.3
Avam,"A Captain discovers that his assignment to work with a Defence minister is a front for government espionage, and is pulled into a complex tangle of deceit in the struggle to keep his country safe.",B.R. Chopra,5.4
Aisi Bhi Kya Jaldi Hai,The story is about a single father (Sachin) who is overly protective of her daughter (Srishti Behl) and does not like the idea that his daughter will leave him after marriage and hence ...                See full summary »,Sachin Pilgaonkar,6.7
Professor Ki Padosan,"Professor Vidyadhar teaches Hindi in a college and resides in a flat with his wife, Shobha, and school-going son, Pappu. He leads a fairly routine and mundane life, until a new resident in ...                See full summary »",Shantilal Soni,6.3
Duniya,An advocate faces heavy odds defending the brother of his sweetheart.,T. Prakash Rao,7.1
Yeh Raat Phir Na Aaygi,"After discovery of skeletal remains at an excavation site, a woman known to be deceased for over 2 centuries mysteriously re-surfaces to claim her lover.",Brij,6.7
Prem Patra,"While studying in medical college Arun Kumar Mathur (Shashi Kapoor) has a misunderstanding over a love letter with Kavita Kapoor (Sadhana), and must leave the college, much to his dismay. ...                See full summary »",Bimal Roy,7.6
New Delhi,"Complications, impersonations and moral dilemmas arise when a Punjabi pretends to be a Tamil in order to obtain accommodation in New Delhi. An eloquent and entertaining plea for national ...                See full summary »",Mohan Segal,7.3
Bal Ganesh 2,"Lord Ganesha evolves from a mischievous boy, who is not only innocent but also intelligent, to an elephant-headed god, who embarks on a series of adventures with his friends to defeat evil forces.",Pankaj Sharma,7.2
Khwaabb,"Khwaab is a story about the birth of a dream, of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger, ...                See full summary »",Zaid Ali Khan,5.7
Yeh Hai Malegaon Ka Superman,"Funny, irreverent and burlesque, this film-itself modelled on the Bollywood cinema parodies the typical Bollywood fare. It also has a larger purpose, in that it portrays the existing living...                See full summary »",Nasir Shaikh,7.7
Dihadi,A migrant worker gets lost in internal area amid lock-down.,Nidhi Patel,9.1
"Three: Love, Lies, Betrayal",A lonely and neglected wife has an affair with her tenant.,Vishal Pandya,5.9
Sanshodhan,"Parmino is a small village in Central India, headed by a Village Committee comprising of all males. When the Government of India notifies the Committee that a third of them must be women, ...                See full summary »",Govind Nihalani,7.2
International Crook,"Superintendent of Police, Rajesh, is asked to take charge of a police station in Goa, and manage it. Rajesh is aware that his friend, Shekar, also lives there, and he is anxious to see him....                See full summary »",Pachhi,6.6
C.I.D.,C.I.D. Inspector Veer( Vinod Khanna) wages war against organized crime. His nemesis is Roshan Lala (Kiran Kumar) the overlord of the drug and gold smuggling racket in India. So dangerous a ...                See full summary »,Ajay Goel,4.7
Bahaar Aane Tak,The lives of two friends are turned upside-down when someone from their past returns.,Tariq Shah,4.7
Aswamedham,"Abhimanyu (Shobhan Babu) is an honest IPS officer who arrests an international mafia don smuggler Vyaghra (Amrish Puri), but Vyaghra somehow escapes from the prison. Kiriti (Nandamuri ...                See full summary »",K. Raghavendra Rao,7.0
Ek Mahal Ho Sapno Ka,"Vishal is a poet and lives a middle-class lifestyle with his widowed and wheelchair-bound mom. He is in love with Aruna, who works with a publishing company. Due to his forthrightness, ...                See full summary »",Devendra Goel,7.1
Raampur Ka Lakshman,"Kedarnath Bhargav, his wife, Laxmi, and two sons, Ram and Lakshman are homeless. While traveling, their train derails and the family is separated into 3 groups. While Laxmi works as a ...                See full summary »",Manmohan Desai,6.5
Arjun Pandit,Add a Plot,Hrishikesh Mukherjee,7.4
Pyar Hi Pyar,"In order to win the heart of the beautiful Kavita, Vijay Pratap decides to masquerades as a wealthy industrialist and does succeed in winning Kavita's heart but Kavita has another charming ...                See full summary »",Bhappi Sonie,7.0
Uran Khatola,"A man's plane crashes in a city that is ruled by women and he starts liking the peasant girl who rescues him. However, the queen of the city also likes him but discovers that he likes someone else.",S.U. Sunny,7.5
Shortcut Safari,"'Shortcut Safari' is about adventures of a group of 7 urban children, between ages 10 to 14 years, who get stuck in a deep, dense forest while returning from a day long trip organised by the Nature Club of their School.",Amitabha Singh,6.4
Shuruaat Ka Interval,"An anthology of 8 short films around the theme of ""Interval"", mentored and curated by Imtiaz Ali, Vikas Bahl, Vikramaditya Motwane and Anand Gandhi.",Aarti S. Bagdi,7.5
Karishma Kudrat Kaa,"Vijay is a simple-minded widower who lives in a small rural town in India with his unmarried sister, Radha; his son; and his widowed mom. Radha is soon to be married to Sub-Inspector Raj. ...                See full summary »",Sunil Hingorani,6.0
Salaakhen,"In-separable childhood friends, Raju and Guddi are separated when Guddi's dad, Ramlal is arrested by the police for theft. Years later Guddi is now a cabaret dancer and singer, Seema, while...                See full summary »",A. Salaam,5.7
Sajan,Ashok comes from a business family and lives a very wealthy lifestyle. One day while perusing newspapers he comes across an article which claims that he is to marry a dancer named Rajni. ...                See full summary »,Mohan Segal,7.2
Dard (Conflict of Emotions),"Prosecuting Attorney Seema proceeds with the criminal prosecution of Deepak Srivastav, who is accused of Murder. She submits to the Judge to not be fooled by the innocent looks and the ...                See full summary »",Ambrish Sangal,7.1
Love Marriage,"Sunil Kumar rents a room in the city where he is to play cricket for the home team. He meets with the landlord's daughter, who instantly dislikes him. But after watching him play cricket, ...                See full summary »",Subodh Mukherji,7.7
Gaddaar,A group of thieves hunt for the traitor who has disappeared with the loot from their last big heist.,Harmesh Malhotra,7.9
Maya,"Disillusioned with his wealthy friends, a male goes to live in the slums and falls in love with a burglar's sister.",D.D. Kashyap,7.5
Dharti Kahe Pukar Ke,"This is the story of three brothers Gangaram, Moti and Shiv. Story revolves around Moti who is now an advocate in the big city owing to loan which his brother Gangaram took for his ...                See full summary »",Dulal Guha,7.5
Aaj Kaa M.L.A. Ram Avtar,"Ram Avtar, a barber in a small village, comes from a poor family, widowed, but has his wife's sister, Sushma, looking after him and his kids. Ram Avtar cuts, shaves, and grooms all males in...                See full summary »",Dasari Narayana Rao,5.9
Aadmi Aur Apsara,"Raju, a courageous and spirited young man is a caregiver to four young orphans, Shamili, Shalini, Richard and Rishi. He works as a local tour guide in a picturesque hill station. ...                See full summary »",Dasari Narayana Rao,7.0
Bandish,"Kanta, a lovely village girl is deeply in love with Ramgulam an honest and simple man. They decide to marry and live a blissful life.Suddenly Ramgulam has to leave on a mission and Kanta ...                See full synopsis »",Prakash Jha,4.4
Dard Ka Rishta,"Time is running out for Khushbu, Ravi Sharma(Sunil Dutt)'s daughter. Her leukemia can be cured only if someone's bone marrow matches her daughter .So, he goes abroad and gets in touch with her former wife (Smita Patil).",Sunil Dutt,7.0
Shriman Satyawadi,An orphan refuses to lie to further his and others' careers.,S.M. Abbas,7.0
Manzil,"An embittered music composer, estranged from his family, self-destructs after learning his sweetheart has married another male.",Mandi Burman,6.0
Roam Rome Mein,Raj (played by Nawazuddin Siddique) goes to Rome in search of his missing sister. In his search he meets some magical characters who take him through his own journey of self realization. Does he find his sister in the end?,Tannishtha Chatterjee,6.9
